conversation_id,messages,label,reasons,severity
conv_078,"User: I got a suspicious login notification. Should I be worried? || Bot: If you didn't initiate that login, please reset your password immediately and enable two-factor authentication in Security Settings. || User: I've done both. Thank you for the quick advice. || Bot: Great job staying safe! Let us know if you see anything else suspicious.",0,"resolved,clarified",0.57
conv_079,User: I want to cancel my subscription. || Bot: I can help with that. Your subscription will be cancelled at the end of the billing period on April 30th. You'll retain access until then. || User: Sounds good. Please go ahead. || Bot: Done! You'll receive a cancellation confirmation by email shortly.,0,"resolved,smooth_flow",0.51
conv_080,"User: I've been double-billed for 3 months in a row. I've contacted you each time. || Bot: I'm sorry for the repeated billing issue. Let me check your account. || User: It's the same every month. You apologize, say you'll fix it, and next month same thing. || Bot: I've identified the billing error and am submitting a correction. || User: You said that last month too. I want a refund for all 3 months — Rs.147. || Bot: I'll submit that refund request to our billing team. || User: I don't want a request. I want it fixed permanently. Put me through to a manager.",1,"frustration,repetition",0.92
conv_081,User: The product I received is damaged. I want a replacement ASAP. || Bot: I'm sorry about that! Can you describe the damage and provide a photo? || User: I sent photos to support@yourcompany.com last week and no one replied. || Bot: I apologize for the lack of response. Can you resend the photos? || User: I already sent them twice. Why do I have to keep repeating myself? || Bot: I understand your frustration. Let me check if the email was received. || User: Every chat I get a different person and start from zero. This is awful. || Bot: I'll escalate this with high priority.,1,"frustration,repetition",0.89
conv_082,User: The product I received is damaged. I want a replacement ASAP. || Bot: I'm sorry about that! Can you describe the damage and provide a photo? || User: I sent photos to support@yourcompany.com last week and no one replied. || Bot: I apologize for the lack of response. Can you resend the photos? || User: I already sent them twice. Why do I have to keep repeating myself? || Bot: I understand your frustration. Let me check if the email was received. || User: Every chat I get a different person and start from zero. This is awful. || Bot: I'll escalate this with high priority.,1,"frustration,repetition",0.88
conv_083,"User: Can I change my delivery address before the item ships? || Bot: Your order hasn't shipped yet, so I've updated the delivery address to the one you provided. You'll get a confirmation email shortly. || User: Wonderful, thank you! || Bot: Of course! Is there anything else?",0,resolved,0.58
conv_084,User: I accidentally chose the wrong size on my order. Can it be changed? || Bot: Your order is still in processing — I may be able to update it. What size did you want? || User: I ordered M but need L please. || Bot: I've submitted the size change request. I can't guarantee it but it's flagged for our warehouse. You'll hear back within 2 hours. || User: Okay. I really hope it works because I need the right size. || Bot: Fingers crossed! We'll do our best.,0,resolved,0.6
conv_085,User: Your AI assistant gave me completely wrong information about my account balance. || Bot: I apologize for the confusion. What information were you given? || User: It told me I had Rs.500 credit. I used it. Now I'm getting invoices for the full amount. || Bot: I can see your account has no promotional credit at this time. || User: The BOT told me I did! I have a screenshot. Who's responsible for this? || Bot: I understand this is frustrating. I'll escalate to our technical and billing teams. || User: That's not good enough. I acted on bad information your system gave me. I want compensation.,1,"frustration,low_quality_response",0.75
conv_086,User: Does my plan include priority support? || Bot: Yes! The Pro plan includes priority support with a guaranteed 4-hour response time for critical issues. || User: Good to know. Thanks for confirming. || Bot: Of course! Don't hesitate to reach out anytime.,0,"smooth_flow,clarified",0.58
conv_087,"User: Why was I charged Rs.99 when your website says the plan is Rs.49? || Bot: Charges may vary based on applicable taxes and add-ons. || User: There are no add-ons on my account. I specifically checked. || Bot: Let me review your account. I see a charge of Rs.99 on April 1st. || User: Yes, that's the problem. I should have been charged Rs.49. Fix it. || Bot: I understand your concern. Billing discrepancies are reviewed by our billing department. || User: That's not an answer. Can you refund the difference or not? || Bot: I'm not able to process refunds directly, but I can submit a ticket on your behalf. || User: Every time I contact support it's the same story. Just fix it.",1,"frustration,repetition,fallback",0.82
conv_088,User: Someone hacked my account and made unauthorized purchases. || Bot: I'm sorry to hear that. Please change your password immediately. || User: I already did. But the charges are still there — Rs.350 worth. || Bot: I recommend contacting your bank to dispute the charges. || User: So you're not going to help me? This happened on YOUR platform. || Bot: I understand your frustration. I'll note this for our security team. || User: Noting it isn't good enough. I need a real person to handle this.,1,"frustration,fallback",0.7
conv_089,"User: I've been charged but don't see the order in my history. || Bot: That's unusual! Let me look that up. Can you share the charge amount and date? || User: Rs.67.50, April 5th. || Bot: I can see a transaction on our end but the order appears to be in a pending state. Give me a moment. || User: Should I be worried? || Bot: Not at all — this can happen during high traffic. I've manually confirmed the order and it will appear in your history within the hour. || User: Okay. I'll check back. A bit concerning but thanks for looking.",0,resolved,0.58
conv_090,User: I want to cancel my subscription. || Bot: I can help with that. Your subscription will be cancelled at the end of the billing period on April 30th. You'll retain access until then. || User: Sounds good. Please go ahead. || Bot: Done! You'll receive a cancellation confirmation by email shortly.,0,"resolved,smooth_flow",0.52
conv_091,User: I think I was sent a refurbished product instead of new. The box was opened. || Bot: I'm sorry — that should not have happened. All products are meant to ship new and sealed. || User: There was tape over the original seal. I'm not happy. || Bot: I completely understand your concern. I'll arrange a free replacement of a brand-new unit and a prepaid return label for the current one. || User: Alright. As long as the replacement is genuinely new. || Bot: It will be quality-checked before dispatch. I'm sorry for this experience.,0,resolved,0.59
conv_092,"User: I'd like to return a product I bought last week. || Bot: Sure! Our return window is 30 days. Please pack the item and use the prepaid label sent to your email. Once we receive it, the refund takes 5–7 days. || User: Perfect, I'll do that today. || Bot: Great! Let us know if you need any further assistance.",0,"resolved,smooth_flow",0.51
conv_093,"User: I need to update my billing address. || Bot: Sure! Head to Account > Billing > Edit Address. Changes take effect on your next invoice. || User: Updated. Thanks! || Bot: Perfect, you're all set!",0,"resolved,smooth_flow",0.52
conv_094,User: I'm being charged for an account I deleted 6 months ago. || Bot: I'm sorry to hear that. I don't see any active account under your email. || User: Exactly — it was deleted. But charges keep appearing on my card statement. || Bot: This could be a residual subscription. I'll look into it. || User: You said that 2 months ago. And last month. The charges keep coming. || Bot: I apologize for the recurring issue. I'll escalate this to our billing team immediately. || User: I'm done with chatbots. I need a manager.,1,"frustration,repetition,fallback",0.93
conv_095,"User: I'm so frustrated. Your app deleted all my saved data. || Bot: I'm sorry to hear that. When did this happen? || User: This morning, after the update. 2 years of data — gone. || Bot: Data is typically backed up automatically. Please try logging out and back in. || User: I did. Nothing is there. This is a critical problem. || Bot: Have you tried reinstalling the app? || User: YES. Still gone. Can someone actually help me recover my data? || Bot: I'll open a ticket for our technical team. || User: A ticket?! I need this fixed TODAY. Can I speak to a real person?",1,"frustration,fallback",0.7
conv_096,"User: Hello, I'd like to know if there's a student discount available. || Bot: Yes! We offer a 20% student discount. Please verify your student status at our EDU portal and the discount will be applied automatically. || User: Just verified — discount applied. Thanks! || Bot: Enjoy the savings! Let us know if you need anything else.",0,"smooth_flow,clarified",0.58
conv_097,User: How do I upgrade my plan? || Bot: You can upgrade anytime from Account > Subscription. Choose your plan and confirm payment. The new plan activates immediately. || User: Done it! Upgraded to Pro. || Bot: Excellent! Enjoy the Pro features. 🎉,0,"resolved,smooth_flow",0.5
conv_098,User: I've been trying to reach your support for 3 days. No one answers the phone and emails bounce. || Bot: I'm very sorry for the difficulty reaching us. How can I help you today? || User: My business account is locked and I can't process payments. This is costing me money. || Bot: I understand the urgency. Let me look into your account. || User: It says 'compliance review'. No one told me about this. || Bot: Compliance reviews are triggered automatically by our system. || User: When will it be resolved? I'm losing thousands of dollars. || Bot: I don't have visibility into compliance timelines. You'll receive an email when it's resolved. || User: That is completely unacceptable. I need a senior agent NOW.,1,"frustration,fallback,long_conversation",0.93
conv_099,User: Where is my package? Order #9001. || Bot: Your order shipped on April 5th via FedEx with tracking number FX239041. Estimated delivery is April 9th. || User: Thanks! I'll track it on their site. || Bot: Great idea! Don't hesitate to reach out if anything changes.,0,"resolved,smooth_flow",0.52
conv_100,"User: I forgot my password and can't log in. || Bot: No problem! Click 'Forgot Password' on the login page and enter your email. You'll receive a reset link shortly. || User: Done, I got the email. All good now. || Bot: Wonderful! Let me know if anything else comes up.",0,"resolved,smooth_flow",0.52
conv_101,"User: I ordered the premium package but my account still shows basic. || Bot: Thank you for your order! It can take up to 2 hours to activate. When did you complete the purchase? || User: About 3 hours ago. || Bot: That's a bit longer than normal. I'll manually trigger an activation check on your account. || User: Okay. How long will that take? || Bot: It should reflect within 15–30 minutes. If not, please reach out and we'll investigate further. || User: Alright, I'll wait. Not thrilled but I'll give it a bit more time.",0,"resolved,clarified",0.58
conv_102,"User: I paid for overnight shipping and it still hasn't arrived by noon. || Bot: I'm sorry! Overnight means delivery by end of business day, typically 6 PM. Your tracking shows it's out for delivery. || User: Okay, I thought overnight meant morning. Good to know. || Bot: It's a common misunderstanding! You should receive it by 6 PM today. || User: Alright. I'll wait then.",0,"resolved,clarified",0.54
conv_103,User: Is there a way to export all my purchase history? || Bot: Yes! Go to Account > Order History > Export. You can download it as a CSV or PDF. || User: Found it. Downloading now. || Bot: Great! Let me know if you need any help interpreting the data.,0,"resolved,smooth_flow",0.54
conv_104,"User: Why does your app keep crashing when I open the payments section? || Bot: I'm sorry about that! What device and OS are you using? || User: iPhone 15, iOS 17.4. || Bot: There's a known issue with the payments section on iOS 17.4. A fix is rolling out this week. || User: It's been crashing for days though. Is there a workaround? || Bot: You can access payments via our website in the meantime. I apologize for the inconvenience. || User: Okay that works I guess. Just fix it quickly please.",0,resolved,0.6
conv_105,User: Hello i cant access my account since yesterday || Bot: Hi! I'm sorry to hear that. Can you tell me what happens when you try to log in? || User: it says account does not exist but i have been a customer for 2 years || Bot: That's unusual. Please try resetting your password. || User: i did. it says account not found. i think my account got deleted || Bot: Please check if you used a different email address. || User: no i have only one email. this is urgent i have data in there || Bot: I'll create a support ticket for our technical team to investigate. || User: please have someone call me. this is too important for a ticket,1,"frustration,fallback",0.73
conv_106,"User: Hi, my two-factor authentication app was reset. How do I log in? || Bot: You can use one of your backup codes to log in. Go to the login page, click 'Use backup code', and enter one of the codes from when you set up 2FA. || User: I found them. It worked. Thank you! || Bot: Glad you're back in! You may want to set up 2FA again after logging in.",0,"resolved,clarified",0.56
conv_107,"User: Hi, I'm trying to redeem a promo code but it says it's invalid. || Bot: Let me verify that code. It looks like SAVE20 expired on March 31st. However, I can apply a 15% goodwill discount to your current cart manually. || User: That works! Please go ahead. || Bot: Done! The discount has been applied. Enjoy your purchase.",0,"resolved,clarified",0.57
conv_108,User: I'm disputing three charges totaling Rs.800. This is fraud. || Bot: I take this very seriously. Let me review your account. || User: The charges appeared overnight. I didn't authorize any of them. || Bot: I see three charges on April 5th. I'll flag your account for security review. || User: Flagging isn't enough. I need those charges reversed NOW. || Bot: Charge reversals for fraud require our security team's approval. || User: Then get them on the phone. I'm not waiting days for this.,1,"frustration,fallback",0.72
conv_109,"User: My payment keeps failing. It says 'card declined'. || Bot: I'm sorry for the inconvenience. This is often due to incorrect billing address or card details. Could you double-check those and try again? || User: Oh you're right, I had the wrong zip code. It went through now. || Bot: Great! Glad that worked. Have a wonderful day!",0,resolved,0.59
conv_110,"User: I was waiting in chat queue for 45 minutes and then got disconnected. || Bot: I am so sorry for that experience! That's completely unacceptable wait time and then to be disconnected is even worse. || User: I just need help with a simple billing question. || Bot: Absolutely, I'm here and ready to help. What's your billing question? || User: Was I charged twice for April? || Bot: Let me check… No, I can see only one charge of Rs.29.99 for April. || User: Okay good. Just wanted to confirm. The wait time was awful though. || Bot: I understand and I apologize. I've passed your feedback to our queue management team.",0,resolved,0.56
conv_111,User: My profile picture won't upload — keeps giving a generic error. || Bot: I'm sorry about that. Try a JPEG under 2MB. || User: I've tried 5 different images. Same error every time. || Bot: Please try in an incognito window. || User: Same error. Is this a bug? || Bot: It may be a temporary issue on our end. Please try again later. || User: I've been trying for 4 days. This is a bug you need to fix.,1,"repetition,fallback",0.72
conv_112,"User: My order shows 'processing' for 3 days. Is that normal? || Bot: Processing typically takes 1–2 days. I've flagged your order #8812 for priority review. You should get an update within 2 hours. || User: Thank you, I appreciate the quick action. || Bot: You're welcome! We'll get this sorted for you.",0,resolved,0.57
conv_113,"User: Hi, I was charged twice for my order #4821. || Bot: I'm sorry to hear that! Let me check your order. I can confirm a duplicate charge of Rs.34.99. I've initiated a refund — it should appear in 3–5 business days. || User: That's great, thank you! || Bot: You're welcome! Is there anything else I can help with today?",0,resolved,0.57
conv_114,"User: I've been charged but don't see the order in my history. || Bot: That's unusual! Let me look that up. Can you share the charge amount and date? || User: Rs.67.50, April 5th. || Bot: I can see a transaction on our end but the order appears to be in a pending state. Give me a moment. || User: Should I be worried? || Bot: Not at all — this can happen during high traffic. I've manually confirmed the order and it will appear in your history within the hour. || User: Okay. I'll check back. A bit concerning but thanks for looking.",0,resolved,0.56
conv_115,"User: I need to update my billing address. || Bot: Sure! Head to Account > Billing > Edit Address. Changes take effect on your next invoice. || User: Updated. Thanks! || Bot: Perfect, you're all set!",0,"resolved,smooth_flow",0.5
conv_116,User: my card keeps getting declined on your site but works everywhere else || Bot: I'm sorry about that. Please check if your card details are entered correctly. || User: everything is correct. been using same card for a year || Bot: Sometimes banks block certain merchants. Please contact your bank. || User: my bank says there's no block from their end. the problem is your site || Bot: I recommend trying a different payment method. || User: i dont have another method. ive been trying to pay for 2 days || Bot: I apologize for the trouble. There may be an issue with our payment processor. || User: so you admit its your problem. fix it or i go elsewhere,1,"frustration,fallback",0.7
conv_117,User: I need to pause my subscription for a month. || Bot: Absolutely! I've paused your subscription for 30 days starting today. It will auto-resume on May 8th unless you cancel it. || User: Perfect. That's exactly what I needed. || Bot: Great! We'll send you a reminder before it resumes.,0,"resolved,smooth_flow",0.5
conv_118,User: My tax invoice is showing incorrect business details. || Bot: I'm sorry about that. Please update your business details in Account Settings. || User: The settings are correct. The issue is the invoice that was already issued. || Bot: Issued invoices can be corrected by our billing team. || User: How long does that take? || Bot: Typically 5–7 business days. || User: I have a tax deadline in 2 days. This needs to happen faster. || Bot: I understand the urgency. I'll flag this as a high-priority request. || User: I've already been told it's 'flagged'. Nothing happens. I need someone senior.,1,"frustration,repetition",0.88
conv_119,User: My account has been suspended for no reason. || Bot: I'm sorry for the inconvenience. Account suspensions occur due to violations of our terms. || User: I haven't violated anything. This is a mistake. || Bot: I recommend reviewing our Terms of Service for clarification. || User: Are you serious? You're telling me to read terms instead of helping me? || Bot: I apologize. I can submit an appeal on your behalf. || User: It's been a week since I submitted an appeal. No response. || Bot: Appeals are typically reviewed within 5–7 business days. || User: It's been 7 days. I want a human to look at my case NOW.,1,"frustration,repetition,fallback,long_conversation",0.92
conv_120,"User: My cart total seems higher than expected. || Bot: Your cart includes shipping (Rs.8.99) and applicable taxes (Rs.4.20). The product subtotal is Rs.45.00, bringing the total to Rs.58.19. || User: Ah, I see it now. That makes sense. || Bot: Great! Let me know if you have any other questions.",0,"smooth_flow,clarified",0.54
conv_121,"User: Your chatbot disconnected mid-conversation and I lost all my info || Bot: I'm sorry about that! How can I help you today? || User: I was filing a fraud claim. Now I have to start over again. || Bot: I apologize for the inconvenience. Please provide your account details. || User: This is the third time I'm doing this. Every time the bot disconnects or can't help me. || Bot: I understand. Let me try to assist you with the fraud claim. || User: You know what, forget it. I'm calling my bank. This is hopeless.",1,"frustration,repetition,low_quality_response",0.86
conv_122,"User: Is my data backed up if I delete the app? || Bot: Yes, your data is stored on our servers and tied to your account. Reinstalling the app and logging in will restore everything. || User: Great, that's reassuring. Thank you. || Bot: Glad I could help!",0,"resolved,clarified",0.57
conv_123,User: My delivery arrived but one item is missing. || Bot: I apologize for the incomplete shipment. I've flagged this and will ship the missing item free of charge. You'll receive a confirmation email within 1 hour. || User: That was fast. Thank you so much! || Bot: Our pleasure! We're sorry for the trouble.,0,resolved,0.56
conv_124,"User: Hi. I've been trying to add a new card for 3 days but it keeps failing. || Bot: I'm sorry! What error message do you see? || User: 'Card could not be added. Please try again.' || Bot: That's vague — let me dig deeper. Can you confirm the card type? || User: Visa Debit from Chase. || Bot: Some Visa Debit cards require additional verification. Try adding it through our Verified Payment portal link I'm sending now. || User: Okay, I'll try that. Bit annoying this wasn't clear from the start. || Bot: Completely fair — our error messages should be more descriptive. I've logged this as a UX improvement.",0,resolved,0.57
conv_125,"User: My cart total seems higher than expected. || Bot: Your cart includes shipping (Rs.8.99) and applicable taxes (Rs.4.20). The product subtotal is Rs.45.00, bringing the total to Rs.58.19. || User: Ah, I see it now. That makes sense. || Bot: Great! Let me know if you have any other questions.",0,"smooth_flow,clarified",0.55
conv_126,"User: Hi, I ordered 3 items but only got 2. Should I wait for the third? || Bot: I'm sorry! Let me check your order. I can see item 3 (notebook) was out of stock and shipped separately. It's due tomorrow. || User: Would have been nice to know that from the start. || Bot: Completely fair feedback. We should have notified you. I've shared your feedback with our operations team. || User: Okay. As long as it's coming tomorrow. || Bot: It is — tracking number TX44821. Any questions? || User: No, that's fine. Thanks.",0,"resolved,clarified",0.54
conv_127,User: My entire purchase history is gone from my account. || Bot: That's very unusual. When did you notice this? || User: This morning. I need the history for my warranty claim. || Bot: Please try logging out and logging back in. || User: I did. It's all gone. Years of orders — gone. || Bot: This may be a display issue. Please wait 24 hours and check again. || User: Wait 24 hours?! I have a time-sensitive warranty claim. || Bot: I understand the urgency. I'll escalate this. || User: Same answer every time. I need actual help.,1,"frustration,repetition,fallback",0.91
conv_128,User: Your delivery partner left my Rs.400 package outside in the rain. It's ruined. || Bot: I'm so sorry to hear that. That's unacceptable. || User: I need a replacement or a full refund immediately. || Bot: I understand. This is a serious issue. Can you share photos of the damage? || User: I've already sent photos to your email three times. Is there any record? || Bot: I don't see any email on file. Could you resend to support@...? || User: I'm not sending it a fourth time. Someone needs to actually fix this. || Bot: I sincerely apologize. I'll escalate with urgency.,1,"frustration,repetition",0.89
conv_129,User: My package was delivered to the wrong address!!! || Bot: I'm so sorry! Please provide your order number. || User: Order 3341. It was left at someone else's house. || Bot: Thank you. I can see it was delivered. Please check with your neighbors. || User: I already said — WRONG ADDRESS. Not my neighbors. A completely different street. || Bot: I understand. This may be a carrier error. Please contact FedEx directly. || User: That's your job. I paid YOU. Fix it or refund me. || Bot: I'll escalate this to our logistics team. || User: I've been waiting 20 minutes. This is totally unacceptable.,1,"frustration,fallback",0.71
conv_130,User: Is there a way to export all my purchase history? || Bot: Yes! Go to Account > Order History > Export. You can download it as a CSV or PDF. || User: Found it. Downloading now. || Bot: Great! Let me know if you need any help interpreting the data.,0,"resolved,smooth_flow",0.52
conv_131,"User: Why did my order get cancelled without any notice? || Bot: I'm sorry about that. Cancellations can occur due to inventory issues or payment problems. || User: My payment went through. I have the confirmation. || Bot: That is unusual. I'll look into it. || User: I needed this for tomorrow. Can you reinstate the order with priority shipping? || Bot: Unfortunately, reinstating cancelled orders isn't something I can do directly. || User: Then who can? I need this fixed today. || Bot: I'll submit an urgent request to our order management team. || User: This is outrageous. Same non-answers every time.",1,"frustration,fallback",0.77
conv_132,"User: I locked myself out after too many password attempts. || Bot: Your account has been temporarily locked for security. I've sent an unlock link to your email. It'll expire in 15 minutes. || User: Got it, I'm in now. Thanks! || Bot: Glad you're back in! Consider enabling biometric login to avoid this in the future.",0,resolved,0.59
conv_133,User: Your website won't let me complete checkout. Keeps throwing an error. || Bot: Sorry about that! Please try a different browser or device. || User: Tried 3 browsers and my phone. Same error. || Bot: Try disabling browser extensions. || User: Done. Still broken. I just want to buy something. This is absurd. || Bot: Our technical team is aware of some checkout issues. || User: So it's a known issue and you have no timeline for the fix? || Bot: I don't have an ETA at this time. I apologize for the inconvenience. || User: Unbelievable. I'm going to buy from a competitor.,1,"frustration,fallback",0.68
conv_134,"User: Hi, I accidentally placed a duplicate order. Can you cancel one? || Bot: Of course! I've cancelled the duplicate order #5523. Your refund of Rs.47.00 will be processed within 3–5 business days. || User: Thank you, you're a lifesaver! || Bot: Happy to help! Have a great day.",0,resolved,0.59
conv_135,User: I've contacted support 4 times about a billing error. NOBODY has fixed it. || Bot: I'm very sorry to hear that. I'll do my best to help you today. || User: That's what everyone says. My account is overcharged by Rs.200. || Bot: Let me look into this for you. || User: What do you see? || Bot: I see some charges on your account but I'm unable to determine the discrepancy from my end. || User: This is insane. You can't see a Rs.200 overcharge? I want a supervisor.,1,"frustration,repetition,fallback",0.91
conv_136,User: I was promised a callback 3 days ago and no one called. || Bot: I'm sorry you didn't receive a callback. I'll re-schedule it for you. || User: That's what the last agent said. And the one before. || Bot: I completely understand your frustration. I'll make this a high-priority callback. || User: Can you guarantee I'll actually get a call this time? || Bot: I'll do my best to ensure the team follows up promptly. || User: 'Do my best' isn't good enough. Escalate this now.,1,"frustration,repetition",0.89
conv_137,User: I've tried to chat with support twice today and both times the chat cut out. || Bot: I'm very sorry for the repeated disconnections. I'll do my best to resolve your issue quickly this time. || User: I hope so. I just need to cancel my subscription. || Bot: I can do that for you right now. Is there a specific reason for the cancellation? || User: Just not using it enough. Please cancel at end of period. || Bot: Done! Your subscription is cancelled and will expire on April 30th. || User: Great. Finally sorted. The chat issue should really be fixed.,0,resolved,0.59
conv_138,"User: I feel like I'm talking to a wall. My issue has been open for 3 weeks. || Bot: I'm truly sorry you feel that way. What is the issue you're experiencing? || User: Incorrect charge of Rs.500 on my account. Ticket #88341. || Bot: I can see your ticket is in progress with our billing team. || User: What does 'in progress' mean after 3 weeks? || Bot: I don't have more specific details on the ticket status, I'm afraid. || User: This is incredibly frustrating. I need a real answer, not 'in progress.' || Bot: I understand your frustration. I'll request an urgent status update. || User: Request an update? Just put me through to someone who can actually answer me.",1,"frustration,repetition,long_conversation",0.93
conv_139,"User: I want to close my account entirely. How do I do that? || Bot: I'm sorry to see you go. You can close your account under Settings > Privacy > Delete Account. || User: What happens to my data when I delete it? || Bot: Your personal data is permanently deleted within 30 days, per our privacy policy. || User: And my purchase history? || Bot: That's also deleted. However, we retain minimal transaction records for legal compliance for 7 years. || User: Fine. I'll proceed with deletion. Thanks for being transparent.",0,"resolved,clarified",0.56
conv_140,User: Your chatbot gave me wrong shipping information and now my package is lost. || Bot: I'm sorry to hear that. I'll look into your shipment. || User: The bot said to use door 3. There is no door 3 at that location. || Bot: I apologize for the incorrect information. Let me locate your package. || User: It's been 5 days since that happened. Where is my parcel? || Bot: I can see the package is still in transit. || User: In transit where? You need to give me specifics. This is urgent. || Bot: I unfortunately don't have more detailed location information at this time. || User: This is a failure on your end. I want a full refund or replacement today.,1,"frustration,fallback,low_quality_response",0.91
conv_141,"User: I upgraded my storage but the new limit isn't reflecting. || Bot: Upgrades take up to 1 hour to propagate. When did you upgrade? || User: 2 hours ago. || Bot: That's past the expected window. I'll force-sync your account now. || User: Thank you. Let me know when done. || Bot: Done! Please refresh and check — your storage should now show 1TB. || User: Yes, it's updated! Thank you.",0,resolved,0.57
conv_142,"User: I was waiting in chat queue for 45 minutes and then got disconnected. || Bot: I am so sorry for that experience! That's completely unacceptable wait time and then to be disconnected is even worse. || User: I just need help with a simple billing question. || Bot: Absolutely, I'm here and ready to help. What's your billing question? || User: Was I charged twice for April? || Bot: Let me check… No, I can see only one charge of Rs.29.99 for April. || User: Okay good. Just wanted to confirm. The wait time was awful though. || Bot: I understand and I apologize. I've passed your feedback to our queue management team.",0,resolved,0.57
conv_143,"User: Hello, I need to change my email address on my account. || Bot: You can update your email under Account Settings > Personal Info. Would you like step-by-step guidance? || User: I found it. Done! || Bot: Perfect. Your changes should be saved immediately.",0,"resolved,smooth_flow",0.52
conv_144,"User: I'm getting an error when trying to download my invoice. || Bot: I'm sorry about that! What type of error are you seeing? || User: It just says 'download failed' with no further info. || Bot: Please try a different browser. If that doesn't work, I can email the invoice directly. || User: I tried Firefox and it still fails. Just email it. || Bot: Done! I've sent the invoice to your registered email address. || User: Got it. Thank you. The download should still be fixed though. || Bot: Absolutely, I've logged a bug report. Apologies for the trouble.",0,resolved,0.57
conv_145,User: Can I switch from monthly to annual billing? || Bot: Absolutely! Switching to annual saves you 20%. I've updated your plan and you'll be charged the annual rate at your next renewal on May 1st. || User: Sounds good. Thanks for the quick update. || Bot: You're welcome! Enjoy the savings.,0,"resolved,smooth_flow",0.53
conv_146,User: How do I upgrade my plan? || Bot: You can upgrade anytime from Account > Subscription. Choose your plan and confirm payment. The new plan activates immediately. || User: Done it! Upgraded to Pro. || Bot: Excellent! Enjoy the Pro features. 🎉,0,"resolved,smooth_flow",0.51
conv_147,"User: I got charged tax even though I'm tax exempt. I have a certificate. || Bot: I'm sorry about that! Please upload your tax-exempt certificate in Account > Billing > Tax Settings. || User: I've uploaded it. Will I be refunded for today's charge? || Bot: Yes, once the certificate is verified (usually 1–2 days), we'll refund the tax portion automatically. || User: Okay. It's a small amount but I'm glad the process is straightforward.",0,resolved,0.6
conv_148,"User: Hi, my two-factor authentication app was reset. How do I log in? || Bot: You can use one of your backup codes to log in. Go to the login page, click 'Use backup code', and enter one of the codes from when you set up 2FA. || User: I found them. It worked. Thank you! || Bot: Glad you're back in! You may want to set up 2FA again after logging in.",0,"resolved,clarified",0.55
conv_149,"User: I've been trying to reset my password for 20 minutes and haven't gotten an email. || Bot: I'm sorry! Please check your spam folder as well. The email can take up to 5 minutes. || User: Still nothing after 30 minutes. I've checked spam too. || Bot: Let me resend the reset link manually. Please try now. || User: Still nothing. This is getting frustrating. || Bot: I've verified your email address and resent the link. If you still don't receive it within 10 minutes, please contact us again.",0,"resolved,clarified",0.58
conv_150,User: Hello i cant access my account since yesterday || Bot: Hi! I'm sorry to hear that. Can you tell me what happens when you try to log in? || User: it says account does not exist but i have been a customer for 2 years || Bot: That's unusual. Please try resetting your password. || User: i did. it says account not found. i think my account got deleted || Bot: Please check if you used a different email address. || User: no i have only one email. this is urgent i have data in there || Bot: I'll create a support ticket for our technical team to investigate. || User: please have someone call me. this is too important for a ticket,1,"frustration,fallback",0.72
conv_151,User: Your chatbot gave me wrong shipping information and now my package is lost. || Bot: I'm sorry to hear that. I'll look into your shipment. || User: The bot said to use door 3. There is no door 3 at that location. || Bot: I apologize for the incorrect information. Let me locate your package. || User: It's been 5 days since that happened. Where is my parcel? || Bot: I can see the package is still in transit. || User: In transit where? You need to give me specifics. This is urgent. || Bot: I unfortunately don't have more detailed location information at this time. || User: This is a failure on your end. I want a full refund or replacement today.,1,"frustration,fallback,low_quality_response",0.92
conv_152,"User: Can I get a refund if I accidentally bought the annual plan? || Bot: Since the purchase was within 24 hours, I've gone ahead and refunded the annual plan. You've been moved back to the monthly plan. || User: That's perfect, exactly what I needed. Thank you! || Bot: Happy to help! Take care.",0,resolved,0.57
conv_153,"User: My delivery is one day late. Is everything okay? || Bot: I'm sorry for the delay! I can see your package is out for delivery today and should arrive by end of day. || User: Okay, as long as it comes today. I'm a little worried since I need it urgently. || Bot: I completely understand. The tracking shows it's en route. You'll receive a notification once it's delivered. || User: Alright, thanks. I hope it makes it.",0,"resolved,clarified",0.56
conv_154,User: I want to speak to your data privacy officer. || Bot: I can help you with data privacy questions. What would you like to know? || User: I want to know exactly what data you hold on me and who you've shared it with. || Bot: You can submit a Subject Access Request via our privacy page. || User: I submitted one 45 days ago. No response. You're legally required to respond within 30 days. || Bot: I apologize for the delay. I'll escalate your request. || User: I need written confirmation of escalation today. Otherwise I'm filing a complaint. || Bot: I'll send a confirmation to your registered email. || User: And the DPO contact? I need to speak to them directly.,1,"frustration,repetition",0.9
conv_155,User: The promo code I received in your email isn't working. || Bot: I'm sorry about that! Which code were you trying? || User: SPRING25. The email says 25% off. || Bot: I can see that code is valid but requires a minimum cart of Rs.50. Is your cart above that? || User: It's Rs.48. So close! Ugh. || Bot: I'll make an exception and apply it for you this time. || User: Oh thank you! That's really kind.,0,resolved,0.59
conv_156,User: I'd like to add a second user to my business account. || Bot: Sure! Go to Account > Team Members > Invite. Enter their email and select their role. They'll receive an invitation within minutes. || User: Done! They got the invite. Thanks. || Bot: Wonderful! Welcome to the team for your new member.,0,"resolved,smooth_flow",0.5
